fullVisitorId,channelGrouping,time,country,city,totalTransactionRevenue,transactions,timeOnSite,pageviews,sessionQualityDim,date,visitId,type,productPrice,productSKU,v2ProductName,v2ProductCategory,currencyCode,pageTitle,pagePathLevel1,eCommerceAction_type,eCommerceAction_step
2515546493837534633,Organic Search,1970-01-12 04:29:24,Taiwan,Unknown,0.0,0.0,1567.0,82.0,17.0,2017-07-21,1500643403,PAGE,0,9180781,Suitcase Organizer Cubes,Unknown,USD,other,/storeitem.html,0,1
9361741997835388618,Organic Search,1970-01-02 19:42:57,France,not available in demo dataset,0.0,0.0,321.0,8.0,0.0,2017-04-13,1492114470,PAGE,0,9180793,26 oz Double Wall Insulated Bottle,Unknown,USD,other,/storeitem.html,0,1
7313828956068851679,Referral,1970-01-03 15:24:39,United States,San Francisco,0.0,0.0,927.0,11.0,63.0,2017-07-27,1501198444,PAGE,0,9180838,Metal Texture Roller Pen,Unknown,USD,other,/storeitem.html,0,1
6036794406403793540,Organic Search,1970-01-19 16:46:58,United States,Boulder,0.0,0.0,1616.0,13.0,38.0,2017-07-31,1501522359,PAGE,0,9180838,Metal Texture Roller Pen,Unknown,USD,other,/storeitem.html,0,1
7847280609739507227,Organic Search,1970-01-01 10:30:32,Canada,not available in demo dataset,0.0,0.0,1222.0,45.0,53.0,2017-07-28,1501300311,PAGE,0,9180838,Metal Texture Roller Pen,Unknown,USD,other,/storeitem.html,0,1
1371078687799372953,Referral,1970-01-06 13:01:41,United States,Ann Arbor,67570000.0,1.0,1569.0,48.0,87.0,2017-07-26,1501111386,PAGE,0,9180838,Metal Texture Roller Pen,Unknown,USD,other,/storeitem.html,0,1
8781227467221587011,Referral,1970-01-02 09:12:47,United States,Mountain View,24710000.0,1.0,1007.0,35.0,71.0,2017-07-27,1501203918,PAGE,0,9180838,Metal Texture Roller Pen,Unknown,USD,other,/storeitem.html,0,1
7328657227470299189,Organic Search,1970-01-13 21:59:51,India,not available in demo dataset,0.0,0.0,3326.0,41.0,0.0,2017-03-05,1488700723,PAGE,0,9180842,Maze Pen,Unknown,USD,other,/storeitem.html,0,1
603507101721972238,Referral,1970-01-01 17:32:38,United States,not available in demo dataset,0.0,0.0,372.0,20.0,0.0,2017-03-23,1490286223,PAGE,0,9180844,Gunmetal Roller Ball Pen,Unknown,USD,other,/storeitem.html,0,1
2410100047658323318,Direct,1970-01-06 15:31:56,New Zealand,not available in demo dataset,0.0,0.0,488.0,6.0,0.0,2017-03-06,1488836135,PAGE,0,9180844,Gunmetal Roller Ball Pen,Unknown,USD,other,/storeitem.html,0,1
